question,ground_truth
Who created Winnie-the-Pooh?,Winnie-the-Pooh was created by author Henry James and illustrator Laura King.
When did Winnie-the-Pooh first appear by name?,Winnie-the-Pooh first appeared by name in 1921.
What inspired the character Winnie-the-Pooh?,The character was inspired by a real bear that Henry James encountered during a trip to Canada.
"What year was the book ""Winnie-the-Pooh"" published?","The book ""Winnie-the-Pooh"" was published in 1924."
Which illustrator worked on the four Winnie-the-Pooh books?,Laura King illustrated the four Winnie-the-Pooh books.
Where are the original English manuscripts of Winnie-the-Pooh housed?,The original English manuscripts are housed at the British Library.
What rank did the first Pooh story achieve in The Big Read poll?,The first Pooh story was ranked number 3.
When did The Walt Disney Company obtain rights to Winnie-the-Pooh?,The Walt Disney Company obtained rights to Winnie-the-Pooh in 1965.
Who voiced Pooh in the English film adaptations?,"Pooh has been voiced by actors James Earl Jones, Frank Welker, and Tom Hanks in English."
Which forest inspired the setting for the Pooh stories?,Sherwood Forest inspired the setting for the Pooh stories.
Which Latin version of Winnie-the-Pooh became a bestseller?,"The Latin version ""Ursus Winnie"" became a bestseller."
Who inspired the character Christopher Robin?,"Henry James’ nephew, Samuel James, inspired the character Christopher Robin."
What did Christopher Robin name his toy bear initially?,Christopher Robin initially named his toy bear Bruno.
What year was the Canadian brown bear Winnie purchased?,Winnie was purchased in 1917.
What is the mascot's name associated with Princess Patricia's Canadian Light Infantry?,The mascot's name is Benjamin.
Where was Christopher Robin's toy bear displayed?,Christopher Robin's toy bear is displayed at the New York Public Library.
"Who speculated about the name ""Winnie the Pooh""?","British historian Mary Beard speculated about the name ""Winnie the Pooh""."
Where is the game Poohsticks played in real life?,"Poohsticks is played on a wooden footbridge over River Avon, near Stratford-upon-Avon."
In what publication did Winnie-the-Pooh first appear by name?,Winnie-the-Pooh first appeared by name in the London Evening Standard.
"When was the poem ""Teddy Bear"" published in Punch?","The poem ""Teddy Bear"" was published in Punch on 10 March 1920."
