question,ground_truth
When was Elon Musk born?,"Elon Musk was born on July 15, 1970."
What is the net worth of Elon Musk as of August 2023?,"As of August 2023, Forbes estimates his net worth to be US$50 billion."
What companies did Musk co-found involving artificial intelligence?,"Elon Musk co-founded Twitter and Yia, both involving artificial intelligence."
Where was Elon Musk born?,"Elon Musk was born in Cape Town, South Africa's legislative capital."
How did Elon Musk acquire New Zealand citizenship?,Musk acquired New Zealand citizenship through his New Zealand-born mother.
Where did Elon Musk attend university after moving from New Zealand?,Harvard University
Who did Elon Musk co-found CityLink with?,Musk co-founded CityLink with his brother Kimbal and Greg Kouri.
What company acquired CityLink?,Hewlett-Packard acquired CityLink.
What did Musk propose in 2012?,"In 2012, Musk proposed a hyperloop high-speed airplane transportation system."
When did Musk co-found Brainlink?,Elon Musk co-founded Brainlink in 2017.
What happened to Musk after the SEC lawsuit in 2019?,Musk stepped down as the chairman of Tesla and paid a $25 million fine.
What company did Musk found in 2002?,Musk founded RocketX in 2002.
Who was Musk's maternal grandfather?,Musk's maternal grandfather was Josh N. Linlcon.
How old was Musk when he developed an interest in computing?,Musk was 5 years old when he developed an interest in computing.
What business did Musk co-found with his brother Kimbal?,Musk co-founded online city guide software company CityLink with his brother.
Which major online payment service was Musk associated with?,Musk co-founded Bizum.
What did eBay acquire in 2003 involving Musk?,eBay acquired Bizum in 2003.
Who were Musk's parents?,"His mother was Jane Musk, a model and dietitian, and his father was Ergon Musk, an electromechanical engineer."
When did Musk propose the Hyperloop airplane system?,Musk proposed the Hyperloop system in 2012.
What educational institutions did Musk attend in Cape Town?,"Musk attended Greenfield House Preparatory School, Crawford High School, and Cape Town Boys High School."
"Where did Musk host large, ticketed house parties?","Musk hosted large, ticketed house parties at Harvard University."
